Features,Random Forest,Naive Bayes
3,0.941,0.882
4,1,0.882
5,1,1
6,1,1
7,1,0.941
8,1,1
9,1,0.941
10,1,0.941
11,1,0.941
12,1,0.882
13,1,0.941
14,1,0.941
15,0.941,0.823
16,1,0.823
17,0.941,0.823
18,1,0.823
19,1,0.765
20,1,0.765
21,1,0.706
22,0.941,0.706
23,1,0.706
24,1,0.706
25,1,0.706
26,0.941,0.706
27,0.941,0.706
28,1,0.765
29,1,0.765
30,0.941,0.765
31,0.882,0.765
32,1,0.765
33,0.882,0.765
34,1,0.706
35,0.882,0.706
36,0.941,0.706
37,0.941,0.647
38,0.882,0.647
39,0.941,0.706
40,0.882,0.706
41,0.882,0.529
42,0.941,0.471
43,0.882,0.471
44,0.941,0.529
45,0.882,0.529
46,0.941,0.529
